Timestamp,Hour,Actual_Generation_MWh,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh
2025-05-04 06:00,6,47.0,2410.7478291988905,0.0,6315.717948142729
2025-05-04 07:00,7,236.0,2794.310728368278,0.0,6905.990273606321
2025-05-04 08:00,8,3311.0,4421.632103165445,177.71907026220674,8614.643089539844
2025-05-04 09:00,9,7625.0,7160.051875004062,3366.072701647375,11001.16606149738
2025-05-04 10:00,10,10126.0,10163.77688991385,5990.310404227138,14047.560372474483
2025-05-04 11:00,11,11213.0,12435.04900983498,8338.906237677103,16538.030272178596
2025-05-04 12:00,12,11819.0,13495.537811086404,9274.003616514821,17611.498400451994
2025-05-04 13:00,13,11986.0,13589.038597743689,9384.996257383022,17818.052255391885
2025-05-04 14:00,14,10829.0,13274.751607641072,9392.295021818969,17622.367366808307
2025-05-04 15:00,15,10115.0,12832.328916343627,8636.803742098939,16906.224275561697
2025-05-04 16:00,16,9332.0,12048.368342349204,7781.873271418319,16041.734779374348
2025-05-04 17:00,17,8745.0,10556.861884938287,6576.888168656308,14516.361405412328
2025-05-04 18:00,18,8255.0,8360.36877626722,4403.891868555377,12491.37236207466
2025-05-04 19:00,19,6382.0,5996.085973026764,1874.3580299493503,10174.719811019248
2025-05-04 20:00,20,2472.0,4176.655048499896,210.9185224030012,8365.42558351228
2025-05-04 21:00,21,331.0,3254.799626021092,0.0,7472.434681691912
2025-05-04 22:00,22,184.0,3019.8219872282525,0.0,6962.789844068784
2025-05-04 23:00,23,183.0,2989.6304128376273,0.0,7248.994494690172
2025-05-05 00:00,0,182.0,2874.2581472734064,0.0,6806.657087681414
2025-05-05 01:00,1,183.0,2747.304601262671,0.0,6929.666757752203
2025-05-05 02:00,2,152.0,2797.494694856791,0.0,6943.035872896242
2025-05-05 03:00,3,120.0,2984.8319270056286,0.0,7230.316254710861
2025-05-05 04:00,4,118.0,3021.606641105115,0.0,7155.3266680925335
2025-05-05 05:00,5,85.0,2736.327538112584,0.0,6745.662327899329
2025-05-05 06:00,6,55.0,2434.9562639014,0.0,6514.052227159026
2025-05-05 07:00,7,177.0,2820.441832201349,0.0,6739.878601011202
2025-05-05 08:00,8,2189.0,4449.500238380923,609.7196475459932,8513.647677072933
2025-05-05 09:00,9,6258.0,7189.4582117107475,2991.8408619963798,11237.312080126523
2025-05-05 10:00,10,9849.0,10194.510785969249,6324.594144681517,14023.573120907648
2025-05-05 11:00,11,12079.0,12466.889448621201,7916.374883821936,16519.502363330295
2025-05-05 12:00,12,12206.0,13528.254888484973,9704.591758874425,17483.011727198696
2025-05-05 13:00,13,11600.0,13622.395050545045,9177.34943825385,17812.2324441433
2025-05-05 14:00,14,11738.0,13308.504377195331,9569.769231141638,17288.683892690366
2025-05-05 15:00,15,11260.0,12866.230739285485,9149.603581145931,16967.19524256321
2025-05-05 16:00,16,10712.0,12082.169360722528,7930.091150356124,16196.401893464987
2025-05-05 17:00,17,9927.0,10590.311268456275,6594.968917041366,14496.438623283795
2025-05-05 18:00,18,9553.0,8393.21634898666,4552.5364031256895,12500.045885298967
2025-05-05 19:00,19,7928.0,6028.083836033255,1646.9471392179585,10143.986263270051
2025-05-05 20:00,20,3861.0,4207.559192605971,270.830357129202,7918.459669447098
2025-05-05 21:00,21,876.0,3284.371525819845,0.0,7265.546706883052
2025-05-05 22:00,22,534.0,3047.8301684243515,0.0,7070.350016861914
2025-05-05 23:00,23,412.0,3015.851986940739,0.0,7069.518065769519
2025-05-06 00:00,0,362.0,2898.4803050516875,0.0,7371.889722343179
2025-05-06 01:00,1,341.0,2769.326058372548,0.0,7012.977635688608
2025-05-06 02:00,2,299.0,2817.1270820633576,0.0,7042.012262163174
2025-05-06 03:00,3,296.0,3001.901118489861,0.0,7080.079673351691
2025-05-06 04:00,4,296.0,3035.9540137705644,0.0,6986.227458734975
2025-05-06 05:00,5,296.0,2747.8111554315487,0.0,6829.116417748663
2025-05-06 06:00,6,296.0,2443.4519777590267,0.0,6349.464237014662
2025-05-06 07:00,7,524.0,2825.844297027738,0.0,7019.600286525285
2025-05-06 08:00,8,3595.0,4451.723831250794,224.17331387114405,8646.723853134852
2025-05-06 09:00,9,8345.0,7188.43785317634,2848.0957271079646,11123.25063485329
2025-05-06 10:00,10,10076.0,10190.202656465042,5845.457749466065,14244.947921710927
2025-05-06 11:00,11,10779.0,12459.271595514503,8136.634697525278,16753.64792945169
2025-05-06 12:00,12,11735.0,13517.327719428557,9517.19782237944,17800.12173720868
2025-05-06 13:00,13,12212.0,13608.181708987231,9654.341775033272,17617.742504327834
2025-05-06 14:00,14,13562.0,13291.050996920001,9530.240581306549,17310.15942424001
2025-05-06 15:00,15,13221.0,12845.606574469111,8752.429037467395,16933.802022272124
2025-05-06 16:00,16,12554.0,12058.466789426995,8126.622005179006,16015.098329237037
2025-05-06 17:00,17,12192.0,10563.645667576126,6375.047858901001,14484.866771305757
2025-05-06 18:00,18,12034.0,8363.72583875171,4433.345624872881,12183.259497379979
2025-05-06 19:00,19,10679.0,5995.928894845116,2115.097040919021,10085.35995306975
2025-05-06 20:00,20,5549.0,4172.922140209662,0.0,8146.401842833981
2025-05-06 21:00,21,1199.0,3247.455876548402,0.0,7165.089132967623
2025-05-06 22:00,22,822.0,3008.8598563135783,0.0,6931.795499238974
2025-05-06 23:00,23,748.0,2975.0704633067735,0.0,6976.479605263126
2025-05-07 00:00,0,666.0,2856.149512462557,0.0,7067.312976993731
2025-05-07 01:00,1,629.0,2725.7252840090628,0.0,7099.23464261064
2025-05-07 02:00,2,544.0,2772.551694785337,0.0,6798.151242183972
2025-05-07 03:00,3,461.0,2956.661194618009,0.0,7266.63613300652
2025-05-07 04:00,4,375.0,2990.372857211393,0.0,6861.186576662763
2025-05-07 05:00,5,356.0,2702.223718619759,0.0,7029.850983647942
2025-05-07 06:00,6,274.0,2398.2031907464498,0.0,6463.32856261056
2025-05-07 07:00,7,581.0,2781.2873121611847,0.0,6796.644208422777
2025-05-07 08:00,8,4452.0,4408.218192626161,437.57184323231183,8249.149609176371
2025-05-07 09:00,9,10401.0,7146.347599108748,3334.077287847468,11159.252044835514
2025-05-07 10:00,10,13354.0,10149.894365438524,6246.101187861642,14383.257517163123
2025-05-07 11:00,11,15214.0,12421.112386483368,8665.092342417398,16583.050512740563
2025-05-07 12:00,12,15652.0,13481.683214861629,9342.850339727755,17720.492953565885
2025-05-07 13:00,13,16270.0,13575.41397514626,9535.239748988326,17535.366867229208
2025-05-07 14:00,14,16312.0,13261.516470619576,9186.941572844582,17269.48263182479
2025-05-07 15:00,15,15726.0,12819.65398922225,8763.721285624719,16976.29168752186
2025-05-07 16:00,16,14548.0,12036.435113068783,7949.7783907710855,15981.854025364977
2025-05-07 17:00,17,14847.0,10545.862063607761,6389.017482038156,14789.883206850947
2025-05-07 18:00,18,14599.0,8350.503664028318,4130.175541853698,12305.24654010126
2025-05-07 19:00,19,11475.0,5987.565745933271,2259.0890167097537,9960.13779305114
2025-05-07 20:00,20,4844.0,4169.697960891114,255.64684096373958,7945.071543416188
2025-05-07 21:00,21,804.0,3249.631138548689,0.0,7112.585101917942
2025-05-07 22:00,22,439.0,3016.673825634998,0.0,7231.1728274938505
2025-05-07 23:00,23,422.0,2988.7395632307525,0.0,6902.039531162376
2025-05-08 00:00,0,333.0,2875.8657950130505,0.0,6514.5165775762425
2025-05-08 01:00,1,264.0,2751.655020162339,0.0,7026.632306076299
2025-05-08 02:00,2,165.0,2804.83409376957,0.0,7046.503168198051
2025-05-08 03:00,3,132.0,2995.407261676428,0.0,7184.5684890326065
2025-05-08 04:00,4,132.0,3035.6643984665243,0.0,7026.687770306422
2025-05-08 05:00,5,132.0,2754.11250105126,0.0,6664.72253588197
2025-05-08 06:00,6,113.0,2456.710263877696,0.0,6540.6335675060745
2025-05-08 07:00,7,357.0,2846.4024979895507,0.0,6867.050293769829
2025-05-08 08:00,8,3015.0,4479.89974802025,229.52964164492414,8695.670486527748
