MTU (CET/CEST),Area,Production Type,Generation(MW)
02/01/2025 22:45:00 - 02/01/2025 23:00:00,BZN|ES,Wind Onshore,8776.0
02/01/2025 23:00:00 - 02/01/2025 23:15:00,BZN|ES,Wind Onshore,8688.0
02/01/2025 23:15:00 - 02/01/2025 23:30:00,BZN|ES,Wind Onshore,8712.0
02/01/2025 23:30:00 - 02/01/2025 23:45:00,BZN|ES,Wind Onshore,8888.0
02/01/2025 23:45:00 - 03/01/2025 00:00:00,BZN|ES,Wind Onshore,9060.0
03/01/2025 00:00:00 - 03/01/2025 00:15:00,BZN|ES,Wind Onshore,9024.0
03/01/2025 00:15:00 - 03/01/2025 00:30:00,BZN|ES,Wind Onshore,9096.0
03/01/2025 00:30:00 - 03/01/2025 00:45:00,BZN|ES,Wind Onshore,9124.0
03/01/2025 00:45:00 - 03/01/2025 01:00:00,BZN|ES,Wind Onshore,9092.0
03/01/2025 01:00:00 - 03/01/2025 01:15:00,BZN|ES,Wind Onshore,9188.0
03/01/2025 01:15:00 - 03/01/2025 01:30:00,BZN|ES,Wind Onshore,9360.0
03/01/2025 01:30:00 - 03/01/2025 01:45:00,BZN|ES,Wind Onshore,9668.0
03/01/2025 01:45:00 - 03/01/2025 02:00:00,BZN|ES,Wind Onshore,9920.0
03/01/2025 02:00:00 - 03/01/2025 02:15:00,BZN|ES,Wind Onshore,10112.0
03/01/2025 02:15:00 - 03/01/2025 02:30:00,BZN|ES,Wind Onshore,10384.0
03/01/2025 02:30:00 - 03/01/2025 02:45:00,BZN|ES,Wind Onshore,10564.0
03/01/2025 02:45:00 - 03/01/2025 03:00:00,BZN|ES,Wind Onshore,10280.0
03/01/2025 03:00:00 - 03/01/2025 03:15:00,BZN|ES,Wind Onshore,9996.0
03/01/2025 03:15:00 - 03/01/2025 03:30:00,BZN|ES,Wind Onshore,10412.0
03/01/2025 03:30:00 - 03/01/2025 03:45:00,BZN|ES,Wind Onshore,10628.0
03/01/2025 03:45:00 - 03/01/2025 04:00:00,BZN|ES,Wind Onshore,10632.0
03/01/2025 04:00:00 - 03/01/2025 04:15:00,BZN|ES,Wind Onshore,10304.0
03/01/2025 04:15:00 - 03/01/2025 04:30:00,BZN|ES,Wind Onshore,10368.0
03/01/2025 04:30:00 - 03/01/2025 04:45:00,BZN|ES,Wind Onshore,10660.0
03/01/2025 04:45:00 - 03/01/2025 05:00:00,BZN|ES,Wind Onshore,10988.0
03/01/2025 05:00:00 - 03/01/2025 05:15:00,BZN|ES,Wind Onshore,10820.0
