MTU (CET/CEST),Area,Production Type,Generation(MW)
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|ES,Hydro Pumped Storage,108.0
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|ES,Hydro Pumped Storage,604.0
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|ES,Hydro Pumped Storage,460.0
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|ES,Hydro Pumped Storage,772.0
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|ES,Hydro Pumped Storage,1168.0
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|ES,Hydro Pumped Storage,1356.0
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|ES,Hydro Pumped Storage,1796.0
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|ES,Hydro Pumped Storage,1776.0
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|ES,Hydro Pumped Storage,1732.0
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|ES,Hydro Pumped Storage,1768.0
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|ES,Hydro Pumped Storage,1720.0
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|ES,Hydro Pumped Storage,1560.0
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|ES,Hydro Pumped Storage,804.0
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|ES,Hydro Pumped Storage,388.0
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|ES,Hydro Pumped Storage,232.0
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|ES,Hydro Pumped Storage,224.0
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|ES,Hydro Pumped Storage,252.0
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|ES,Hydro Pumped Storage,304.0
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|ES,Hydro Pumped Storage,196.0
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|ES,Hydro Pumped Storage,164.0
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|ES,Hydro Pumped Storage,200.0
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|ES,Hydro Pumped Storage,232.0
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|ES,Hydro Pumped Storage,164.0
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|ES,Hydro Pumped Storage,164.0
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|ES,Hydro Pumped Storage,164.0
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|ES,Hydro Pumped Storage,108.0
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|ES,Hydro Pumped Storage,80.0
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|ES,Hydro Pumped Storage,80.0
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|ES,Hydro Pumped Storage,96.0
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|ES,Hydro Pumped Storage,204.0
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|ES,Hydro Pumped Storage,228.0
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|ES,Hydro Pumped Storage,216.0
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|ES,Hydro Pumped Storage,168.0
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|ES,Hydro Pumped Storage,164.0
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|ES,Hydro Pumped Storage,192.0
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|ES,Hydro Pumped Storage,204.0
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|ES,Hydro Pumped Storage,208.0
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|ES,Hydro Pumped Storage,156.0
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|ES,Hydro Pumped Storage,132.0
02/01/2025 16:45:00 - 02/01/2025 17:00:00,BZN|ES,Hydro Pumped Storage,604.0
02/01/2025 17:00:00 - 02/01/2025 17:15:00,BZN|ES,Hydro Pumped Storage,904.0
02/01/2025 17:15:00 - 02/01/2025 17:30:00,BZN|ES,Hydro Pumped Storage,484.0
02/01/2025 17:30:00 - 02/01/2025 17:45:00,BZN|ES,Hydro Pumped Storage,1008.0
02/01/2025 17:45:00 - 02/01/2025 18:00:00,BZN|ES,Hydro Pumped Storage,1676.0
02/01/2025 18:00:00 - 02/01/2025 18:15:00,BZN|ES,Hydro Pumped Storage,2060.0
02/01/2025 18:15:00 - 02/01/2025 18:30:00,BZN|ES,Hydro Pumped Storage,2292.0
02/01/2025 18:30:00 - 02/01/2025 18:45:00,BZN|ES,Hydro Pumped Storage,2396.0
02/01/2025 18:45:00 - 02/01/2025 19:00:00,BZN|ES,Hydro Pumped Storage,2356.0
02/01/2025 19:00:00 - 02/01/2025 19:15:00,BZN|ES,Hydro Pumped Storage,2264.0
02/01/2025 19:15:00 - 02/01/2025 19:30:00,BZN|ES,Hydro Pumped Storage,2288.0
02/01/2025 19:30:00 - 02/01/2025 19:45:00,BZN|ES,Hydro Pumped Storage,2312.0
02/01/2025 19:45:00 - 02/01/2025 20:00:00,BZN|ES,Hydro Pumped Storage,2224.0
02/01/2025 20:00:00 - 02/01/2025 20:15:00,BZN|ES,Hydro Pumped Storage,2296.0
02/01/2025 20:15:00 - 02/01/2025 20:30:00,BZN|ES,Hydro Pumped Storage,2456.0
02/01/2025 20:30:00 - 02/01/2025 20:45:00,BZN|ES,Hydro Pumped Storage,2492.0
02/01/2025 20:45:00 - 02/01/2025 21:00:00,BZN|ES,Hydro Pumped Storage,2488.0
02/01/2025 21:00:00 - 02/01/2025 21:15:00,BZN|ES,Hydro Pumped Storage,2484.0
02/01/2025 21:15:00 - 02/01/2025 21:30:00,BZN|ES,Hydro Pumped Storage,2440.0
02/01/2025 21:30:00 - 02/01/2025 21:45:00,BZN|ES,Hydro Pumped Storage,2416.0
02/01/2025 21:45:00 - 02/01/2025 22:00:00,BZN|ES,Hydro Pumped Storage,2412.0
02/01/2025 22:00:00 - 02/01/2025 22:15:00,BZN|ES,Hydro Pumped Storage,2192.0
02/01/2025 22:15:00 - 02/01/2025 22:30:00,BZN|ES,Hydro Pumped Storage,1960.0
02/01/2025 22:30:00 - 02/01/2025 22:45:00,BZN|ES,Hydro Pumped Storage,1960.0
02/01/2025 22:45:00 - 02/01/2025 23:00:00,BZN|ES,Hydro Pumped Storage,1708.0
