MTU (CET/CEST),Area,Production Type,Generation(MW)
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|ES,Hydro Water Reservoir,812.0
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|ES,Hydro Water Reservoir,824.0
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|ES,Hydro Water Reservoir,776.0
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|ES,Hydro Water Reservoir,820.0
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|ES,Hydro Water Reservoir,808.0
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|ES,Hydro Water Reservoir,756.0
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|ES,Hydro Water Reservoir,752.0
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|ES,Hydro Water Reservoir,788.0
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|ES,Hydro Water Reservoir,764.0
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|ES,Hydro Water Reservoir,760.0
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|ES,Hydro Water Reservoir,764.0
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|ES,Hydro Water Reservoir,828.0
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|ES,Hydro Water Reservoir,824.0
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|ES,Hydro Water Reservoir,872.0
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|ES,Hydro Water Reservoir,876.0
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|ES,Hydro Water Reservoir,1000.0
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|ES,Hydro Water Reservoir,1184.0
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|ES,Hydro Water Reservoir,1212.0
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|ES,Hydro Water Reservoir,1244.0
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|ES,Hydro Water Reservoir,1692.0
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|ES,Hydro Water Reservoir,2220.0
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|ES,Hydro Water Reservoir,2424.0
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|ES,Hydro Water Reservoir,2512.0
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|ES,Hydro Water Reservoir,2672.0
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|ES,Hydro Water Reservoir,2928.0
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|ES,Hydro Water Reservoir,2968.0
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|ES,Hydro Water Reservoir,3004.0
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|ES,Hydro Water Reservoir,2904.0
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|ES,Hydro Water Reservoir,2728.0
