MTU (CET/CEST),Area,Production Type,Generation(MW)
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|ES,Fossil Hard coal,516.0
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|ES,Fossil Hard coal,520.0
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|ES,Fossil Hard coal,516.0
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|ES,Fossil Hard coal,520.0
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|ES,Fossil Hard coal,520.0
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|ES,Fossil Hard coal,516.0
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|ES,Fossil Hard coal,504.0
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|ES,Fossil Hard coal,484.0
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|ES,Fossil Hard coal,488.0
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|ES,Fossil Hard coal,488.0
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|ES,Fossil Hard coal,500.0
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|ES,Fossil Hard coal,516.0
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|ES,Fossil Hard coal,516.0
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|ES,Fossil Hard coal,516.0
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|ES,Fossil Hard coal,512.0
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|ES,Fossil Hard coal,508.0
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|ES,Fossil Hard coal,488.0
