MTU (CET/CEST),Area,Production Type,Generation(MW)
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|ES,Fossil Gas,5432.0
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|ES,Fossil Gas,5416.0
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|ES,Fossil Gas,5600.0
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|ES,Fossil Gas,5432.0
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|ES,Fossil Gas,5420.0
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|ES,Fossil Gas,5396.0
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|ES,Fossil Gas,5436.0
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|ES,Fossil Gas,5452.0
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|ES,Fossil Gas,5632.0
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|ES,Fossil Gas,5848.0
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|ES,Fossil Gas,5564.0
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|ES,Fossil Gas,5648.0
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|ES,Fossil Gas,5988.0
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|ES,Fossil Gas,6316.0
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|ES,Fossil Gas,5992.0
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|ES,Fossil Gas,6200.0
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|ES,Fossil Gas,6388.0
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|ES,Fossil Gas,6980.0
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|ES,Fossil Gas,6332.0
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|ES,Fossil Gas,6344.0
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|ES,Fossil Gas,6612.0
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|ES,Fossil Gas,6768.0
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|ES,Fossil Gas,7760.0
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|ES,Fossil Gas,7204.0
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|ES,Fossil Gas,6580.0
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|ES,Fossil Gas,6236.0
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|ES,Fossil Gas,5984.0
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|ES,Fossil Gas,5344.0
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|ES,Fossil Gas,4788.0
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|ES,Fossil Gas,4560.0
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|ES,Fossil Gas,4956.0
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|ES,Fossil Gas,4924.0
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|ES,Fossil Gas,4572.0
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|ES,Fossil Gas,4624.0
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|ES,Fossil Gas,4976.0
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|ES,Fossil Gas,5228.0
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|ES,Fossil Gas,5048.0
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|ES,Fossil Gas,4804.0
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|ES,Fossil Gas,4536.0
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|ES,Fossil Gas,4484.0
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|ES,Fossil Gas,4480.0
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|ES,Fossil Gas,4624.0
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|ES,Fossil Gas,5084.0
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|ES,Fossil Gas,5336.0
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|ES,Fossil Gas,5428.0
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|ES,Fossil Gas,5372.0
