datetime,Area,Production Type,Generation (MWh)
2025/1/6 22:00,BZN|ES,Wind Onshore,13304.0
2025/1/6 23:00,BZN|ES,Wind Onshore,12787.0
2025/1/7 0:00,BZN|ES,Wind Onshore,11630.0
2025/1/7 1:00,BZN|ES,Wind Onshore,11293.0
2025/1/7 2:00,BZN|ES,Wind Onshore,11495.0
2025/1/7 3:00,BZN|ES,Wind Onshore,11223.0
2025/1/7 4:00,BZN|ES,Wind Onshore,11240.0
2025/1/7 5:00,BZN|ES,Wind Onshore,11544.0
2025/1/7 6:00,BZN|ES,Wind Onshore,12306.0
2025/1/7 7:00,BZN|ES,Wind Onshore,13139.0
2025/1/7 8:00,BZN|ES,Wind Onshore,12760.0
2025/1/7 9:00,BZN|ES,Wind Onshore,12363.0
2025/1/7 10:00,BZN|ES,Wind Onshore,12398.0
2025/1/7 11:00,BZN|ES,Wind Onshore,12516.0
2025/1/7 12:00,BZN|ES,Wind Onshore,13372.0
2025/1/7 13:00,BZN|ES,Wind Onshore,14174.0
2025/1/7 14:00,BZN|ES,Wind Onshore,14346.0
2025/1/7 15:00,BZN|ES,Wind Onshore,14586.0
2025/1/7 16:00,BZN|ES,Wind Onshore,14450.0
2025/1/7 17:00,BZN|ES,Wind Onshore,14587.0
2025/1/7 18:00,BZN|ES,Wind Onshore,14605.0
2025/1/7 19:00,BZN|ES,Wind Onshore,14943.0
2025/1/7 20:00,BZN|ES,Wind Onshore,15248.0
2025/1/7 21:00,BZN|ES,Wind Onshore,15144.0
2025/1/7 22:00,BZN|ES,Wind Onshore,14766.0
2025/1/7 23:00,BZN|ES,Wind Onshore,14235.0
2025/1/8 0:00,BZN|ES,Wind Onshore,14029.0
2025/1/8 1:00,BZN|ES,Wind Onshore,13675.0
2025/1/8 2:00,BZN|ES,Wind Onshore,13164.0
2025/1/8 3:00,BZN|ES,Wind Onshore,12790.0
2025/1/8 4:00,BZN|ES,Wind Onshore,12555.0
2025/1/8 5:00,BZN|ES,Wind Onshore,12048.0
2025/1/8 6:00,BZN|ES,Wind Onshore,12378.0
2025/1/8 7:00,BZN|ES,Wind Onshore,11991.0
2025/1/8 8:00,BZN|ES,Wind Onshore,12035.0
2025/1/8 9:00,BZN|ES,Wind Onshore,12169.0
2025/1/8 10:00,BZN|ES,Wind Onshore,12379.0
2025/1/8 11:00,BZN|ES,Wind Onshore,12638.0
2025/1/8 12:00,BZN|ES,Wind Onshore,12766.0
2025/1/8 13:00,BZN|ES,Wind Onshore,13883.0
2025/1/8 14:00,BZN|ES,Wind Onshore,14532.0
2025/1/8 15:00,BZN|ES,Wind Onshore,14579.0
2025/1/8 16:00,BZN|ES,Wind Onshore,15213.0
2025/1/8 17:00,BZN|ES,Wind Onshore,15917.0
2025/1/8 18:00,BZN|ES,Wind Onshore,16120.0
2025/1/8 19:00,BZN|ES,Wind Onshore,16764.0
2025/1/8 20:00,BZN|ES,Wind Onshore,17116.0
2025/1/8 21:00,BZN|ES,Wind Onshore,17295.0
2025/1/8 22:00,BZN|ES,Wind Onshore,17734.0
2025/1/8 23:00,BZN|ES,Wind Onshore,18070.0
2025/1/9 0:00,BZN|ES,Wind Onshore,17916.0
2025/1/9 1:00,BZN|ES,Wind Onshore,18061.0
2025/1/9 2:00,BZN|ES,Wind Onshore,18219.0
2025/1/9 3:00,BZN|ES,Wind Onshore,18417.0
2025/1/9 4:00,BZN|ES,Wind Onshore,18440.0
2025/1/9 5:00,BZN|ES,Wind Onshore,18406.0
2025/1/9 6:00,BZN|ES,Wind Onshore,18347.0
2025/1/9 7:00,BZN|ES,Wind Onshore,18204.0
2025/1/9 8:00,BZN|ES,Wind Onshore,17577.0
2025/1/9 9:00,BZN|ES,Wind Onshore,16467.0
2025/1/9 10:00,BZN|ES,Wind Onshore,16064.0
2025/1/9 11:00,BZN|ES,Wind Onshore,15954.0
2025/1/9 12:00,BZN|ES,Wind Onshore,15204.0
2025/1/9 13:00,BZN|ES,Wind Onshore,14084.0
2025/1/9 14:00,BZN|ES,Wind Onshore,13863.0
2025/1/9 15:00,BZN|ES,Wind Onshore,13592.0
2025/1/9 16:00,BZN|ES,Wind Onshore,12767.0
2025/1/9 17:00,BZN|ES,Wind Onshore,12001.0
2025/1/9 18:00,BZN|ES,Wind Onshore,11382.0
2025/1/9 19:00,BZN|ES,Wind Onshore,11284.0
2025/1/9 20:00,BZN|ES,Wind Onshore,11231.0
2025/1/9 21:00,BZN|ES,Wind Onshore,11392.0
2025/1/9 22:00,BZN|ES,Wind Onshore,11754.0
2025/1/9 23:00,BZN|ES,Wind Onshore,12137.0
2025/1/10 0:00,BZN|ES,Wind Onshore,12746.0
2025/1/10 1:00,BZN|ES,Wind Onshore,12666.0
2025/1/10 2:00,BZN|ES,Wind Onshore,12289.0
2025/1/10 3:00,BZN|ES,Wind Onshore,11982.0
2025/1/10 4:00,BZN|ES,Wind Onshore,12113.0
2025/1/10 5:00,BZN|ES,Wind Onshore,12029.0
2025/1/10 6:00,BZN|ES,Wind Onshore,11885.0
2025/1/10 7:00,BZN|ES,Wind Onshore,11547.0
2025/1/10 8:00,BZN|ES,Wind Onshore,11533.0
2025/1/10 9:00,BZN|ES,Wind Onshore,10965.0
2025/1/10 10:00,BZN|ES,Wind Onshore,11021.0
2025/1/10 11:00,BZN|ES,Wind Onshore,11539.0
2025/1/10 12:00,BZN|ES,Wind Onshore,11999.0
2025/1/10 13:00,BZN|ES,Wind Onshore,12528.0
2025/1/10 14:00,BZN|ES,Wind Onshore,12579.0
2025/1/10 15:00,BZN|ES,Wind Onshore,12323.0
2025/1/10 16:00,BZN|ES,Wind Onshore,11958.0
2025/1/10 17:00,BZN|ES,Wind Onshore,12813.0
2025/1/10 18:00,BZN|ES,Wind Onshore,13540.0
2025/1/10 19:00,BZN|ES,Wind Onshore,13293.0
2025/1/10 20:00,BZN|ES,Wind Onshore,13642.0
2025/1/10 21:00,BZN|ES,Wind Onshore,13828.0
2025/1/10 22:00,BZN|ES,Wind Onshore,14693.0
2025/1/10 23:00,BZN|ES,Wind Onshore,15169.0
2025/1/11 0:00,BZN|ES,Wind Onshore,15449.0
2025/1/11 1:00,BZN|ES,Wind Onshore,15427.0
2025/1/11 2:00,BZN|ES,Wind Onshore,14940.0
2025/1/11 3:00,BZN|ES,Wind Onshore,14665.0
2025/1/11 4:00,BZN|ES,Wind Onshore,14659.0
2025/1/11 5:00,BZN|ES,Wind Onshore,14332.0
2025/1/11 6:00,BZN|ES,Wind Onshore,13685.0
2025/1/11 7:00,BZN|ES,Wind Onshore,14086.0
2025/1/11 8:00,BZN|ES,Wind Onshore,13879.0
2025/1/11 9:00,BZN|ES,Wind Onshore,13616.0
2025/1/11 10:00,BZN|ES,Wind Onshore,12934.0
2025/1/11 11:00,BZN|ES,Wind Onshore,12813.0
2025/1/11 12:00,BZN|ES,Wind Onshore,12879.0
2025/1/11 13:00,BZN|ES,Wind Onshore,12753.0
2025/1/11 14:00,BZN|ES,Wind Onshore,13229.0
2025/1/11 15:00,BZN|ES,Wind Onshore,13157.0
2025/1/11 16:00,BZN|ES,Wind Onshore,12785.0
2025/1/11 17:00,BZN|ES,Wind Onshore,12151.0
2025/1/11 18:00,BZN|ES,Wind Onshore,12487.0
2025/1/11 19:00,BZN|ES,Wind Onshore,12828.0
2025/1/11 20:00,BZN|ES,Wind Onshore,12954.0
2025/1/11 21:00,BZN|ES,Wind Onshore,12663.0
2025/1/11 22:00,BZN|ES,Wind Onshore,12605.0
2025/1/11 23:00,BZN|ES,Wind Onshore,12706.0
2025/1/12 0:00,BZN|ES,Wind Onshore,12694.0
2025/1/12 1:00,BZN|ES,Wind Onshore,12547.0
2025/1/12 2:00,BZN|ES,Wind Onshore,12173.0
2025/1/12 3:00,BZN|ES,Wind Onshore,11927.0
2025/1/12 4:00,BZN|ES,Wind Onshore,11835.0
2025/1/12 5:00,BZN|ES,Wind Onshore,11776.0
2025/1/12 6:00,BZN|ES,Wind Onshore,12096.0
2025/1/12 7:00,BZN|ES,Wind Onshore,12139.0
2025/1/12 8:00,BZN|ES,Wind Onshore,12506.0
2025/1/12 9:00,BZN|ES,Wind Onshore,12085.0
2025/1/12 10:00,BZN|ES,Wind Onshore,11573.0
2025/1/12 11:00,BZN|ES,Wind Onshore,10484.0
2025/1/12 12:00,BZN|ES,Wind Onshore,8859.0
2025/1/12 13:00,BZN|ES,Wind Onshore,8115.0
2025/1/12 14:00,BZN|ES,Wind Onshore,7947.0
2025/1/12 15:00,BZN|ES,Wind Onshore,8113.0
2025/1/12 16:00,BZN|ES,Wind Onshore,9703.0
2025/1/12 17:00,BZN|ES,Wind Onshore,11727.0
2025/1/12 18:00,BZN|ES,Wind Onshore,12881.0
2025/1/12 19:00,BZN|ES,Wind Onshore,13849.0
2025/1/12 20:00,BZN|ES,Wind Onshore,13980.0
2025/1/12 21:00,BZN|ES,Wind Onshore,13898.0
2025/1/12 22:00,BZN|ES,Wind Onshore,13386.0
2025/1/12 23:00,BZN|ES,Wind Onshore,12632.0
2025/1/13 0:00,BZN|ES,Wind Onshore,12035.0
2025/1/13 1:00,BZN|ES,Wind Onshore,11400.0
2025/1/13 2:00,BZN|ES,Wind Onshore,10722.0
2025/1/13 3:00,BZN|ES,Wind Onshore,10251.0
2025/1/13 4:00,BZN|ES,Wind Onshore,10062.0
2025/1/13 5:00,BZN|ES,Wind Onshore,9586.0
2025/1/13 6:00,BZN|ES,Wind Onshore,9428.0
2025/1/13 7:00,BZN|ES,Wind Onshore,9661.0
2025/1/13 8:00,BZN|ES,Wind Onshore,9647.0
2025/1/13 9:00,BZN|ES,Wind Onshore,9166.0
2025/1/13 10:00,BZN|ES,Wind Onshore,8839.0
2025/1/13 11:00,BZN|ES,Wind Onshore,7330.0
2025/1/13 12:00,BZN|ES,Wind Onshore,6878.0
2025/1/13 13:00,BZN|ES,Wind Onshore,6995.0
2025/1/13 14:00,BZN|ES,Wind Onshore,7277.0
2025/1/13 15:00,BZN|ES,Wind Onshore,7403.0
2025/1/13 16:00,BZN|ES,Wind Onshore,7490.0
2025/1/13 17:00,BZN|ES,Wind Onshore,8647.0
2025/1/13 18:00,BZN|ES,Wind Onshore,9221.0
2025/1/13 19:00,BZN|ES,Wind Onshore,9818.0
2025/1/13 20:00,BZN|ES,Wind Onshore,10109.0
2025/1/13 21:00,BZN|ES,Wind Onshore,10058.0
2025/1/13 22:00,BZN|ES,Wind Onshore,9176.0
2025/1/13 23:00,BZN|ES,Wind Onshore,8368.0
2025/1/14 0:00,BZN|ES,Wind Onshore,8013.0
2025/1/14 1:00,BZN|ES,Wind Onshore,7569.0
2025/1/14 2:00,BZN|ES,Wind Onshore,7171.0
2025/1/14 3:00,BZN|ES,Wind Onshore,7392.0
2025/1/14 4:00,BZN|ES,Wind Onshore,7197.0
2025/1/14 5:00,BZN|ES,Wind Onshore,6848.0
2025/1/14 6:00,BZN|ES,Wind Onshore,7213.0
2025/1/14 7:00,BZN|ES,Wind Onshore,6816.0
2025/1/14 8:00,BZN|ES,Wind Onshore,5932.0
2025/1/14 9:00,BZN|ES,Wind Onshore,5384.0
2025/1/14 10:00,BZN|ES,Wind Onshore,4426.0
2025/1/14 11:00,BZN|ES,Wind Onshore,3254.0
2025/1/14 12:00,BZN|ES,Wind Onshore,2479.0
2025/1/14 13:00,BZN|ES,Wind Onshore,2001.0
2025/1/14 14:00,BZN|ES,Wind Onshore,1822.0
2025/1/14 15:00,BZN|ES,Wind Onshore,1766.0
2025/1/14 16:00,BZN|ES,Wind Onshore,1852.0
2025/1/14 17:00,BZN|ES,Wind Onshore,2095.0
2025/1/14 18:00,BZN|ES,Wind Onshore,2812.0
2025/1/14 19:00,BZN|ES,Wind Onshore,3317.0
2025/1/14 20:00,BZN|ES,Wind Onshore,3907.0
2025/1/14 21:00,BZN|ES,Wind Onshore,4671.0
2025/1/14 22:00,BZN|ES,Wind Onshore,5041.0
2025/1/14 23:00,BZN|ES,Wind Onshore,5017.0
2025/1/15 0:00,BZN|ES,Wind Onshore,4923.0
2025/1/15 1:00,BZN|ES,Wind Onshore,4607.0
2025/1/15 2:00,BZN|ES,Wind Onshore,4102.0
