Timestamp,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh,Real_Generation(MWh)
2025-02-23 07:00:00,4637.974587963341,0.0,9385.876653270743,6297.0
2025-02-23 08:00:00,5488.050700751193,1009.4213467264896,10213.74260553119,5770.0
2025-02-23 09:00:00,4512.301991593621,0.0,9297.790630360289,4626.0
2025-02-23 10:00:00,2841.1238451805075,0.0,7939.752308643732,3496.0
2025-02-23 11:00:00,2811.027997508253,0.0,7554.183243833619,3046.0
2025-02-23 12:00:00,2684.536532041405,0.0,7203.666978724964,2632.0
2025-02-23 13:00:00,2626.810576680004,0.0,7525.396457934033,2423.0
2025-02-23 14:00:00,3517.404880349789,0.0,8401.974534645047,2542.0
2025-02-23 15:00:00,3362.1142172501845,0.0,8007.925044934336,2301.0
2025-02-23 16:00:00,3351.0279662788216,0.0,8007.96466538512,2186.0
2025-02-23 17:00:00,4281.8720365816425,0.0,9100.936391398754,2326.0
2025-02-23 18:00:00,6005.696873907047,1183.5190493324371,10946.07184338763,3055.0
2025-02-23 19:00:00,5080.991123953538,282.8767716098195,9662.678433337758,3516.0
2025-02-23 20:00:00,5309.002986815724,778.9218323001236,10050.815869205797,3768.0
2025-02-23 21:00:00,4947.383345450574,0.0,9808.11910947049,4075.0
2025-02-23 22:00:00,5802.331360544807,1200.7006894290046,10573.154602956944,4248.0
2025-02-23 23:00:00,5762.700189417536,813.6126314836815,10209.778915726798,4651.0
2025-02-24 00:00:00,5177.585903330165,242.50303741984453,10081.316806824796,5094.0
2025-02-24 01:00:00,4419.5558324877575,18.1312996413228,9199.390260592878,5697.0
2025-02-24 02:00:00,3852.642715788928,0.0,8455.274646311347,6553.0
2025-02-24 03:00:00,3549.1752693614594,0.0,8159.068892288889,6868.0
2025-02-24 04:00:00,3652.029226877018,0.0,8631.88024885944,7065.0
2025-02-24 05:00:00,3546.435088059232,0.0,7954.447148289479,7183.0
2025-02-24 06:00:00,4050.916457151604,0.0,8706.114539843036,6960.0
2025-02-24 07:00:00,3581.430578073563,0.0,8640.419635610262,7021.0
2025-02-24 08:00:00,3295.9428482109824,0.0,8033.701868951262,7071.0
2025-02-24 09:00:00,3320.5960979868178,0.0,8532.989301165662,6585.0
2025-02-24 10:00:00,3024.310681297456,0.0,7918.656286584395,5999.0
2025-02-24 11:00:00,2954.875164858792,0.0,8138.803162208331,6077.0
2025-02-24 12:00:00,4058.030584692764,0.0,8709.173733518592,6135.0
2025-02-24 13:00:00,5117.2113283449,335.1206862413575,10065.580937198258,6203.0
2025-02-24 14:00:00,6361.769207301344,1576.69374656053,11199.139824584863,6780.0
2025-02-24 15:00:00,7017.607579301383,2301.891810853763,11808.0566530836,7009.0
2025-02-24 16:00:00,6730.463008858731,1715.8299868838917,11558.47738780976,7061.0
2025-02-24 17:00:00,7219.562555744013,2494.1362115494167,12173.464194091395,7218.0
2025-02-24 18:00:00,8986.69601139818,4136.828552074403,14035.272664334405,7580.0
2025-02-24 19:00:00,10000.455390140278,4908.689268804304,15007.4411612263,8759.0
2025-02-24 20:00:00,10322.572347640582,5352.544984156387,15205.664253598265,10292.0
2025-02-24 21:00:00,10704.260547235584,5889.52707216307,15293.846937265713,11609.0
2025-02-24 22:00:00,10594.563089906687,5797.212909516972,15244.28773974408,13097.0
2025-02-24 23:00:00,10511.404881916931,5480.977886943515,15295.303827157446,13359.0
2025-02-25 00:00:00,10885.503455045551,6194.260909912164,15611.309325991991,13369.0
2025-02-25 01:00:00,11412.410552556448,6515.918217000845,15941.946067784716,13210.0
2025-02-25 02:00:00,10722.523420095473,5897.063875188542,15297.96375438112,13047.0
2025-02-25 03:00:00,10080.686249734445,5367.850297184772,15150.170542583795,12288.0
2025-02-25 04:00:00,10036.522262220356,5310.374199010555,14673.288144749964,11963.0
2025-02-25 05:00:00,9786.093309267111,5086.341729643104,14733.862332668386,11744.0
2025-02-25 06:00:00,9145.637247071088,4364.271434441455,14092.498941761962,11623.0
2025-02-25 07:00:00,8509.459174392208,3685.848169402868,13467.618631156103,11278.0
2025-02-25 08:00:00,8276.901856340759,3352.7606180914195,13171.16213359355,10564.0
2025-02-25 09:00:00,7328.0666950337745,1861.8883984945007,12367.819894230735,9775.0
2025-02-25 10:00:00,7443.328917068917,2795.7241597463467,11998.27454536911,10046.0
2025-02-25 11:00:00,7897.177977468418,2924.313490727788,12565.295359818054,10797.0
2025-02-25 12:00:00,7115.793806793255,2314.2813684365283,12222.52337400918,11033.0
2025-02-25 13:00:00,7702.731603050463,2928.7447675869325,12517.256817324173,11972.0
2025-02-25 14:00:00,7340.763612807013,2771.423074604222,12014.729570902156,12280.0
2025-02-25 15:00:00,8019.12582201446,3500.6880061777742,13067.970003219622,12519.0
2025-02-25 16:00:00,7595.593264667598,2271.468436356916,12067.723183594948,12256.0
2025-02-25 17:00:00,8899.581928331474,3859.645120146273,13455.032795028235,11217.0
2025-02-25 18:00:00,9940.391723353823,5158.333237241491,15061.448355611325,10524.0
2025-02-25 19:00:00,11964.68266592458,7056.420947490042,16693.658925777065,9776.0
2025-02-25 20:00:00,11647.816843400657,7017.599093055062,16706.368539928975,9562.0
2025-02-25 21:00:00,10526.214023037166,5646.193440593405,15138.943169151466,9185.0
2025-02-25 22:00:00,9538.658649304276,4781.4338204945225,14277.004309995931,8552.0
2025-02-25 23:00:00,7469.043430449679,2778.900780594845,12356.08871685918,8174.0
2025-02-26 00:00:00,6535.526438363834,1711.7109321201974,11420.405390379568,7874.0
2025-02-26 01:00:00,6054.186540650848,1241.384711484502,10774.649974961472,7540.0
2025-02-26 02:00:00,6686.958073786504,1756.9655433416171,11415.217999287,7516.0
2025-02-26 03:00:00,6122.568682492168,1105.640725689962,10799.576074941657,7444.0
2025-02-26 04:00:00,4856.094816782061,145.82629803138744,9531.570606449432,7136.0
2025-02-26 05:00:00,5035.951524475449,326.9079507164042,9767.72344479638,6709.0
2025-02-26 06:00:00,5611.322038195698,772.5858589040106,10357.81192214523,6358.0
2025-02-26 07:00:00,5838.504745730306,1221.868996974935,10348.90674225906,5918.0
2025-02-26 08:00:00,6251.923701952817,1896.1127418437736,10975.524436193742,6243.0
2025-02-26 09:00:00,6137.975499526933,1259.4373562450946,10809.115606746387,5506.0
2025-02-26 10:00:00,5190.869551317636,558.0597153066459,9889.270320133144,4494.0
2025-02-26 11:00:00,4879.013674746359,133.6620459084651,9675.194433098575,4213.0
2025-02-26 12:00:00,4170.459573039094,0.0,9058.868198052734,4246.0
2025-02-26 13:00:00,3528.3473692206544,0.0,8341.081415278872,4085.0
2025-02-26 14:00:00,3940.153869373056,0.0,9010.880323764828,4022.0
2025-02-26 15:00:00,4334.044286888256,0.0,9133.872727662194,3841.0
2025-02-26 16:00:00,4599.527943107976,0.0,8975.157328830277,3693.0
2025-02-26 17:00:00,4938.255970145929,278.0426031443381,9801.090828859458,3088.0
