Timestamp,Hour,Actual_Generation_MWh,Forecast_Generation_MWh,Absolute_Error_MWh,Percentage_Error
1/9/2025 21:00,21,40,75.65688,35.65688324,89.1422081
1/9/2025 22:00,22,21,66.57896,45.5789566,217.0426505
1/9/2025 23:00,23,8,63.699207,55.69920731,696.2400913
1/10/2025 0:00,0,8,54.266487,46.26648712,578.331089
1/10/2025 1:00,1,8,53.36753,45.36753082,567.0941353
1/10/2025 2:00,2,8,50.566246,42.56624603,532.0780754
1/10/2025 3:00,3,8,50.566246,42.56624603,532.0780754
1/10/2025 4:00,4,8,50.566246,42.56624603,532.0780754
1/10/2025 5:00,5,8,50.16501,42.16500854,527.0626068
1/10/2025 6:00,6,8,50.16501,42.16500854,527.0626068
1/10/2025 7:00,7,8,52.19903,44.19903183,552.4878979
1/10/2025 8:00,8,49,70.55826,21.55825806,43.99644501
1/10/2025 9:00,9,1370,1482.9036,112.9035645,8.241136091
1/10/2025 10:00,10,4661,5418.204,757.2041016,16.24552889
1/10/2025 11:00,11,7143,7808.246,665.2460938,9.313259047
1/10/2025 12:00,12,8618,8069.4106,548.5893555,6.365622598
1/10/2025 13:00,13,9406,7681.5605,1724.439453,18.3333984
1/10/2025 14:00,14,9276,7792.0776,1483.922363,15.99743816
1/10/2025 15:00,15,8687,7461.908,1225.091797,14.10258774
1/10/2025 16:00,16,6523,5467.5854,1055.414551,16.179895
1/10/2025 17:00,17,2673,2747.7227,74.72265625,2.795460391
1/10/2025 18:00,18,230,450.15836,220.1583557,95.72102422
1/10/2025 19:00,19,36,111.83114,75.83113861,210.6420517
1/10/2025 20:00,20,36,90.197334,54.19733429,150.5481508
1/10/2025 21:00,21,36,80.29084,44.29084015,123.0301115
1/10/2025 22:00,22,36,65.92045,29.9204483,83.1123564
1/10/2025 23:00,23,36,63.415802,27.415802,76.15500556
1/11/2025 0:00,0,34,54.70237,20.70236969,60.88932262
1/11/2025 1:00,1,8,54.1765,46.17649841,577.2062302
1/11/2025 2:00,2,4,51.489227,47.48922729,1187.230682
1/11/2025 3:00,3,4,51.489227,47.48922729,1187.230682
1/11/2025 4:00,4,4,51.489227,47.48922729,1187.230682
1/11/2025 5:00,5,4,50.75368,46.75368118,1168.84203
1/11/2025 6:00,6,4,49.67538,45.67538071,1141.884518
1/11/2025 7:00,7,4,51.709396,47.70939636,1192.734909
1/11/2025 8:00,8,32,68.096985,36.09698486,112.8030777
1/11/2025 9:00,9,681,1781.1423,1100.142334,161.5480667
1/11/2025 10:00,10,3374,6192.7437,2818.743652,83.54308395
1/11/2025 11:00,11,6226,9495.242,3269.242188,52.50951152
1/11/2025 12:00,12,8450,9760.29,1310.290039,15.50639099
1/11/2025 13:00,13,9567,9774.771,207.7714844,2.171751692
1/11/2025 14:00,14,9184,10048.099,864.0986328,9.408739469
1/11/2025 15:00,15,8575,9549.425,974.4248047,11.36355457
1/11/2025 16:00,16,6959,6663.2173,295.7827148,4.250362334
1/11/2025 17:00,17,3351,2442.5952,908.4047852,27.10846867
1/11/2025 18:00,18,310,327.52542,17.52542114,5.653361659
1/11/2025 19:00,19,28,100.67033,72.67032623,259.5368794
1/11/2025 20:00,20,28,80.43468,52.43467712,187.266704
1/11/2025 21:00,21,28,70.30817,42.3081665,151.1005947
1/11/2025 22:00,22,28,60.550148,32.55014801,116.2505286
1/11/2025 23:00,23,28,61.83958,33.83958054,120.8556448
1/12/2025 0:00,0,27,53.52529,26.52529144,98.24182016
1/12/2025 1:00,1,26,52.999413,26.99941254,103.8438944
1/12/2025 2:00,2,28,50.60914,22.60913849,80.74692317
1/12/2025 3:00,3,28,50.60914,22.60913849,80.74692317
1/12/2025 4:00,4,28,50.60914,22.60913849,80.74692317
1/12/2025 5:00,5,28,49.873608,21.87360764,78.12002727
1/12/2025 6:00,6,28,52.951183,24.95118332,89.111369
1/12/2025 7:00,7,28,54.985207,26.9852066,96.37573787
1/12/2025 8:00,8,66,74.549416,8.549415588,12.95365998
1/12/2025 9:00,9,1371,1698.0226,327.022583,23.85285069
1/12/2025 10:00,10,5021,6073.9663,1052.966309,20.97124693
1/12/2025 11:00,11,9570,8959.686,610.3144531,6.377371506
1/12/2025 12:00,12,12020,9460.965,2559.035156,21.28980995
1/12/2025 13:00,13,13018,9616.836,3401.164063,26.12662515
1/12/2025 14:00,14,13503,9721.937,3781.063477,28.00165501
1/12/2025 15:00,15,13813,9150.921,4662.079102,33.75138711
1/12/2025 16:00,16,12281,6772.3696,5508.630371,44.85490083
1/12/2025 17:00,17,6137,3188.1519,2948.848145,48.0503201
1/12/2025 18:00,18,647,677.08435,30.08435059,4.649822347
1/12/2025 19:00,19,142,131.6348,10.36520386,7.299439336
